Fiscal Year,Service,Department,Program,Expense Category,Fund,Fund Type,Expense Type,Description,Recommended Amount,Approved Amount
2013,Public Safety,Fire,Fire Prevention,Special Hazards,NA,NA,Expense,Special Hazards,0,1547588.26
2013,Public Safety,Fire,Grants & Reimbursables,Grants & Reimbursables,NA,NA,Expense,Grants & Reimbursables,0,389200
2013,Public Safety,Fire,Operations,Battalion 2,NA,NA,Expense,Battalion 2,0,24261187
2013,Public Safety,Fire,Operations,Battalion 3 - Medic One,NA,NA,Expense,Battalion 3 - Medic One,0,12853942.54
2013,Public Safety,Fire,Operations,Battalion 4,NA,NA,Expense,Battalion 4,0,24784200
2013,Public Safety,Fire,Operations,Battalion 5,NA,NA,Expense,Battalion 5,0,23243736
2013,Public Safety,Fire,Operations,Battalion 6,NA,NA,Expense,Battalion 6,0,21223770
2013,Public Safety,Fire,Operations,Battalion 7,NA,NA,Expense,Battalion 7,0,18850142
2013,Public Safety,Fire,Operations,Office of the Operations Chief,NA,NA,Expense,Office of the Operations Chief,0,15216010.17
2013,Public Safety,Fire,Resource Management,Communications - Resource Mgmt,NA,NA,Expense,Communications - Resource Mgmt,0,6385112
2013,Public Safety,Fire,Resource Management,Safety and Risk Management,NA,NA,Expense,Safety and Risk Management,0,1125760.48
2013,Public Safety,Fire,Resource Management,Support Services - Resource Mgmt,NA,NA,Expense,Support Services - Resource Mgmt,0,1673238
2013,Public Safety,Fire,Resource Management,Training and Officer Development,NA,NA,Expense,Training and Officer Development,0,1717199.2
2012,Public Safety,Fire,Administration,Communications,NA,NA,Expense,Communications,0,5840429.77
2012,Public Safety,Fire,Administration,Finance,NA,NA,Expense,Finance,0,965181.04
2012,Public Safety,Fire,Administration,Human Resources,NA,NA,Expense,Human Resources,0,1043710.74
2012,Public Safety,Fire,Administration,Information Systems,NA,NA,Expense,Information Systems,0,3955064.57
2012,Public Safety,Fire,Administration,Office of the Chief,NA,NA,Expense,Office of the Chief,0,900505.88
2012,Public Safety,Fire,Administration,Support Services,NA,NA,Expense,Support Services,0,2003772.38
2012,Public Safety,Fire,Fire Prevention,Code Compliance,NA,NA,Expense,Code Compliance,0,454555.49
2012,Public Safety,Fire,Fire Prevention,Fire Investigation,NA,NA,Expense,Fire Investigation,0,1069493.92
2012,Public Safety,Fire,Fire Prevention,Hazardous Materials,NA,NA,Expense,Hazardous Materials,0,1545137.57
2012,Public Safety,Fire,Fire Prevention,Office of the Fire Marshal,NA,NA,Expense,Office of the Fire Marshal,0,795705.3
2012,Public Safety,Fire,Fire Prevention,Public Education,NA,NA,Expense,Public Education,0,327871.13
2012,Public Safety,Fire,Fire Prevention,Regulating Construction,NA,NA,Expense,Regulating Construction,0,1905318.41
2012,Public Safety,Fire,Fire Prevention,Special Events,NA,NA,Expense,Special Events,0,509111.34
2012,Public Safety,Fire,Grants & Reimbursables,Grants & Reimbursables,NA,NA,Expense,Grants & Reimbursables,0,832286.49
2012,Public Safety,Fire,Operations,Battalion 2,NA,NA,Expense,Battalion 2,0,23894732.25
2012,Public Safety,Fire,Operations,Battalion 3 - Medic One,NA,NA,Expense,Battalion 3 - Medic One,0,11943870.76
2012,Public Safety,Fire,Operations,Battalion 4,NA,NA,Expense,Battalion 4,0,23957354.2
2012,Public Safety,Fire,Operations,Battalion 5,NA,NA,Expense,Battalion 5,0,22819283.14
2012,Public Safety,Fire,Operations,Battalion 6,NA,NA,Expense,Battalion 6,0,20740366.79
2012,Public Safety,Fire,Operations,Battalion 7,NA,NA,Expense,Battalion 7,0,18442913.29
2012,Public Safety,Fire,Operations,Office of the Operations Chief,NA,NA,Expense,Office of the Operations Chief,0,14288227.02
2012,Public Safety,Fire,Risk Management,Safety and Risk Management,NA,NA,Expense,Safety and Risk Management,0,1085997.95
2012,Public Safety,Fire,Risk Management,Training and Officer Development,NA,NA,Expense,Training and Officer Development,0,1636549.27
2011,Public Safety,Fire,Administration,Communications,NA,NA,Expense,Communications,0,5972602.08
2011,Public Safety,Fire,Administration,Finance,NA,NA,Expense,Finance,0,928495.96
2011,Public Safety,Fire,Administration,Human Resources,NA,NA,Expense,Human Resources,0,1099084.81
2011,Public Safety,Fire,Administration,Information Systems,NA,NA,Expense,Information Systems,0,3574286.72
2011,Public Safety,Fire,Administration,Office of the Chief,NA,NA,Expense,Office of the Chief,0,875890.59
2011,Public Safety,Fire,Administration,Support Services,NA,NA,Expense,Support Services,0,1953332.38
2011,Public Safety,Fire,Fire Prevention,Code Compliance,NA,NA,Expense,Code Compliance,0,445870.55
2011,Public Safety,Fire,Fire Prevention,Fire Investigation,NA,NA,Expense,Fire Investigation,0,1050971.03
2011,Public Safety,Fire,Fire Prevention,Hazardous Materials,NA,NA,Expense,Hazardous Materials,0,1514457.13
2011,Public Safety,Fire,Fire Prevention,Office of the Fire Marshal,NA,NA,Expense,Office of the Fire Marshal,0,768091.72
2011,Public Safety,Fire,Fire Prevention,Public Education,NA,NA,Expense,Public Education,0,316559.1
2011,Public Safety,Fire,Fire Prevention,Regulating Construction,NA,NA,Expense,Regulating Construction,0,1863263.33
2011,Public Safety,Fire,Fire Prevention,Special Events,NA,NA,Expense,Special Events,0,506252.83
2011,Public Safety,Fire,Grants & Reimbursables,Grants & Reimbursables,NA,NA,Expense,Grants & Reimbursables,0,1266025.42
2011,Public Safety,Fire,Operations,Battalion 2,NA,NA,Expense,Battalion 2,0,23405283.85
2011,Public Safety,Fire,Operations,Battalion 3 - Medic One,NA,NA,Expense,Battalion 3 - Medic One,0,11704164.5
2011,Public Safety,Fire,Operations,Battalion 4,NA,NA,Expense,Battalion 4,0,24038611.37
2011,Public Safety,Fire,Operations,Battalion 5,NA,NA,Expense,Battalion 5,0,22313348.95
2011,Public Safety,Fire,Operations,Battalion 6,NA,NA,Expense,Battalion 6,0,20271236.68
2011,Public Safety,Fire,Operations,Battalion 7,NA,NA,Expense,Battalion 7,0,18027223.83
2011,Public Safety,Fire,Operations,Office of the Operations Chief,NA,NA,Expense,Office of the Operations Chief,0,14025528.36
2011,Public Safety,Fire,Risk Management,Human Resources,NA,NA,Expense,Human Resources,0,0
2011,Public Safety,Fire,Risk Management,Safety and Risk Management,NA,NA,Expense,Safety and Risk Management,0,1075107.88
2011,Public Safety,Fire,Risk Management,Training and Officer Development,NA,NA,Expense,Training and Officer Development,0,1591705.81
2010,Public Safety,Fire,Administration,Communications,NA,NA,Expense,Communications,0,5884760.71
2010,Public Safety,Fire,Administration,Finance,NA,NA,Expense,Finance,0,896659.42
2010,Public Safety,Fire,Administration,Human Resources,NA,NA,Expense,Human Resources,0,974661.72
2010,Public Safety,Fire,Administration,Information Systems,NA,NA,Expense,Information Systems,0,3620000.22
2010,Public Safety,Fire,Administration,Office of the Chief,NA,NA,Expense,Office of the Chief,0,873815.85
2010,Public Safety,Fire,Administration,Support Services,NA,NA,Expense,Support Services,0,2024373.51
2010,Public Safety,Fire,Fire Prevention,Code Compliance,NA,NA,Expense,Code Compliance,0,420897.67
2010,Public Safety,Fire,Fire Prevention,Fire Investigation,NA,NA,Expense,Fire Investigation,0,1073327.84
2010,Public Safety,Fire,Fire Prevention,Hazardous Materials,NA,NA,Expense,Hazardous Materials,0,1591132.08
2010,Public Safety,Fire,Fire Prevention,Office of the Fire Marshal,NA,NA,Expense,Office of the Fire Marshal,0,1186579.09
2010,Public Safety,Fire,Fire Prevention,Public Education,NA,NA,Expense,Public Education,0,295856.69
2010,Public Safety,Fire,Fire Prevention,Regulating Construction,NA,NA,Expense,Regulating Construction,0,1915872.08
2010,Public Safety,Fire,Fire Prevention,Special Events,NA,NA,Expense,Special Events,0,508231.4
2010,Public Safety,Fire,Grants & Reimbursables,Grants & Reimbursables,NA,NA,Expense,Grants & Reimbursables,0,0
2010,Public Safety,Fire,Operations,Battalion 2,NA,NA,Expense,Battalion 2,0,23143343.92
2010,Public Safety,Fire,Operations,Battalion 3 - Medic One,NA,NA,Expense,Battalion 3 - Medic One,0,12163741.23
2010,Public Safety,Fire,Operations,Battalion 4,NA,NA,Expense,Battalion 4,0,23743821.77
2010,Public Safety,Fire,Operations,Battalion 5,NA,NA,Expense,Battalion 5,0,22056523.94
2010,Public Safety,Fire,Operations,Battalion 6,NA,NA,Expense,Battalion 6,0,20219748.24
2010,Public Safety,Fire,Operations,Battalion 7,NA,NA,Expense,Battalion 7,0,17959897.05
2010,Public Safety,Fire,Operations,Office of the Operations Chief,NA,NA,Expense,Office of the Operations Chief,0,13820732.36
2010,Public Safety,Fire,Risk Management,Human Resources,NA,NA,Expense,Human Resources,0,0
2010,Public Safety,Fire,Risk Management,Safety and Risk Management,NA,NA,Expense,Safety and Risk Management,0,1061362.44
2010,Public Safety,Fire,Risk Management,Training and Officer Development,NA,NA,Expense,Training and Officer Development,0,1547421.24
2015,Public Safety,Firefighters Pension,Firefighters' Pension,Administration,NA,NA,Expense,Administration,0,640000
2015,Public Safety,Firefighters Pension,Firefighters' Pension,Death Benefits,NA,NA,Expense,Death Benefits,0,15000
2015,Public Safety,Firefighters Pension,Firefighters' Pension,Medical Benefits,NA,NA,Expense,Medical Benefits,0,10650000
2015,Public Safety,Firefighters Pension,Firefighters' Pension,Pensions,NA,NA,Expense,Pensions,0,7281984
2014,Public Safety,Firefighters Pension,Firefighters' Pension,Administration,NA,NA,Expense,Administration,0,605392
2014,Public Safety,Firefighters Pension,Firefighters' Pension,Death Benefits,NA,NA,Expense,Death Benefits,0,15000
2014,Public Safety,Firefighters Pension,Firefighters' Pension,Medical Benefits,NA,NA,Expense,Medical Benefits,0,10700000
2014,Public Safety,Firefighters Pension,Firefighters' Pension,Pensions,NA,NA,Expense,Pensions,0,8000000
2013,Public Safety,Firefighters Pension,Firefighters' Pension,Administration,NA,NA,Expense,Administration,0,601758.76
2013,Public Safety,Firefighters Pension,Firefighters' Pension,Death Benefits,NA,NA,Expense,Death Benefits,0,14999.54
2013,Public Safety,Firefighters Pension,Firefighters' Pension,Medical Benefits,NA,NA,Expense,Medical Benefits,0,10699999.52
2013,Public Safety,Firefighters Pension,Firefighters' Pension,Pensions,NA,NA,Expense,Pensions,0,8700000.55
2013,Public Safety,Firefighters Pension,Firefighters' Pension,Transfer to Actuarial Account,NA,NA,Expense,Transfer to Actuarial Account,0,0
2012,Public Safety,Firefighters Pension,Firefighters' Pension,Administration,NA,NA,Expense,Administration,0,584900.84
2012,Public Safety,Firefighters Pension,Firefighters' Pension,Death Benefits,NA,NA,Expense,Death Benefits,0,14999.54
2012,Public Safety,Firefighters Pension,Firefighters' Pension,Medical Benefits,NA,NA,Expense,Medical Benefits,0,10700000.04
2012,Public Safety,Firefighters Pension,Firefighters' Pension,Pensions,NA,NA,Expense,Pensions,0,8888896.49
2012,Public Safety,Firefighters Pension,Firefighters' Pension,Transfer to Actuarial Account,NA,NA,Expense,Transfer to Actuarial Account,0,0
2011,Public Safety,Firefighters Pension,Firefighters Pension,Administration,NA,NA,Expense,Administration,0,567339.33
2011,Public Safety,Firefighters Pension,Firefighters Pension,Death Benefits,NA,NA,Expense,Death Benefits,0,14999.54
2011,Public Safety,Firefighters Pension,Firefighters Pension,Medical Benefits,NA,NA,Expense,Medical Benefits,0,10699999.73
2011,Public Safety,Firefighters Pension,Firefighters Pension,Pensions,NA,NA,Expense,Pensions,0,8860714.51
2011,Public Safety,Firefighters Pension,Firefighters Pension,Transfer to Actuarial Account,NA,NA,Expense,Transfer to Actuarial Account,0,0
2010,Public Safety,Firefighters Pension,Firefighters Pension,Administration,NA,NA,Expense,Administration,0,553501.29
2010,Public Safety,Firefighters Pension,Firefighters Pension,Death Benefits,NA,NA,Expense,Death Benefits,0,14999.54
2010,Public Safety,Firefighters Pension,Firefighters Pension,Medical Benefits,NA,NA,Expense,Medical Benefits,0,10749999.52
2010,Public Safety,Firefighters Pension,Firefighters Pension,Pensions,NA,NA,Expense,Pensions,0,9924999.52
2010,Public Safety,Firefighters Pension,Firefighters Pension,Transfer to Actuarial Account,NA,NA,Expense,Transfer to Actuarial Account,0,0
2014,"Funds, Subfunds & Other",Fiscal Reserves,Emergency Expenditures,Emergency Expenditures Program,NA,NA,Expense,Emergency Expenditures Program,0,0
2013,"Funds, Subfunds & Other",Fiscal Reserves,Emergency Expenditures,Emergency Expenditures Program,NA,NA,Expense,Emergency Expenditures Program,0,564535
2012,"Funds, Subfunds & Other",Fiscal Reserves,Emergency Expenditures,Emergency Expenditures Program,NA,NA,Expense,Emergency Expenditures Program,0,0
2012,"Funds, Subfunds & Other",Fiscal Reserves,Revenue Stabilization Reserve,Revenue Stabilization Program,NA,NA,Expense,Revenue Stabilization Program,0,0
2011,"Funds, Subfunds & Other",Fiscal Reserves,Emergency Expenditures,Emergency Expenditures Program,NA,NA,Expense,Emergency Expenditures Program,0,750000
2011,"Funds, Subfunds & Other",Fiscal Reserves,Revenue Stabilization Reserve,Revenue Stabilization Program,NA,NA,Expense,Revenue Stabilization Program,0,0
2010,"Funds, Subfunds & Other",Fiscal Reserves,Emergency Expenditures,Emergency Expenditures Program,NA,NA,Expense,Emergency Expenditures Program,0,0
2010,"Funds, Subfunds & Other",Fiscal Reserves,Revenue Stabilization Reserve,Revenue Stabilization Program,NA,NA,Expense,Revenue Stabilization Program,0,11254647
2015,Administration,Hearing Examiner,Office of Hearing Examiner,Office of Hearing Examiner,NA,NA,Expense,Office of Hearing Examiner,0,665618
2014,Administration,Hearing Examiner,Office of Hearing Examiner,Office of Hearing Examiner,NA,NA,Expense,Office of Hearing Examiner,0,648246
2013,Administration,Hearing Examiner,Office of Hearing Examiner,Office of Hearing Examiner,NA,NA,Expense,Office of Hearing Examiner,0,635099.43
2012,Administration,Hearing Examiner,Office of Hearing Examiner,Office of Hearing Examiner,NA,NA,Expense,Office of Hearing Examiner,0,607709.59
2011,Administration,Hearing Examiner,Office of Hearing Examiner,Office of Hearing Examiner,NA,NA,Expense,Office of Hearing Examiner,0,570566.83
2010,Administration,Hearing Examiner,Office of Hearing Examiner,Office of Hearing Examiner,NA,NA,Expense,Office of Hearing Examiner,0,555744.84
2012,,HED,CDBG - Housing and Economic Development 17810,Community Development,NA,NA,Expense,Community Development,0,0
2012,,HED,CDBG - Housing and Economic Development 17810,Homewise and Homeownership,NA,NA,Expense,Homewise and Homeownership,0,0
2012,,HED,CDBG - Housing and Economic Development 17810,Multi-Family Production and Preservation,NA,NA,Expense,Multi-Family Production and Preservation,0,-0.0000000000218
2012,,HED,CDBG - Housing and Economic Development 17810,"Strategic Planning, Resource, and Program Development",NA,NA,Expense,"Strategic Planning, Resource, and Program Development",0,0
2012,,HED,Housing and Economic Development 16600,Administration and Management,NA,NA,Expense,Administration and Management,0,0.000000000383
2012,,HED,Housing and Economic Development 16600,Business Services,NA,NA,Expense,Business Services,0,0
2012,,HED,Housing and Economic Development 16600,Community Development,NA,NA,Expense,Community Development,0,-0.0000000000484
2012,,HED,Housing and Economic Development 16600,Homeownership and Sustainability,NA,NA,Expense,Homeownership and Sustainability,0,0.000000000005
2012,,HED,Housing and Economic Development 16600,Multi-Family Production and Preservation,NA,NA,Expense,Multi-Family Production and Preservation,0,-0.000000000227
2012,,HED,Low Income Housing 16400,Homeownership and Sustainability,NA,NA,Expense,Homeownership and Sustainability,0,0
2012,,HED,Low Income Housing 16400,Multi-Family Production and Preservation,NA,NA,Expense,Multi-Family Production and Preservation,0,0
2015,Neighborhoods & Development,Housing,CDBG - Office of Housing,Homeownership and Sustainability - CDBG,NA,NA,Expense,Homeownership and Sustainability - CDBG,0,790152
2015,Neighborhoods & Development,Housing,CDBG - Office of Housing,Multi-Family Production and Preservation - CDBG,NA,NA,Expense,Multi-Family Production and Preservation - CDBG,0,911012
2015,Neighborhoods & Development,Housing,CDBG - Office of Housing,"Strategic Planning, Resource, and Program Development - CDBG",NA,NA,Expense,"Strategic Planning, Resource, and Program Development - CDBG",0,373412
2015,Neighborhoods & Development,Housing,Low-Income Housing Fund 16400,Homeownership and Sustainability - 16400,NA,NA,Expense,Homeownership and Sustainability - 16400,0,10095692
2015,Neighborhoods & Development,Housing,Low-Income Housing Fund 16400,Multi-Family Production and Preservation - 16400,NA,NA,Expense,Multi-Family Production and Preservation - 16400,0,34437860
2015,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Administration and Management - 16600,NA,NA,Expense,Administration and Management - 16600,0,2029810
2015,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Community Development - 16600,NA,NA,Expense,Community Development - 16600,0,591233
2015,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Homeownership and Sustainability - 16600,NA,NA,Expense,Homeownership and Sustainability - 16600,0,1459758
2015,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Multi-Family Production and Preservation - 16600,NA,NA,Expense,Multi-Family Production and Preservation - 16600,0,1541358
2014,Neighborhoods & Development,Housing,CDBG - Office of Housing,Homeownership and Sustainability - CDBG,NA,NA,Expense,Homeownership and Sustainability - CDBG,0,767191
2014,Neighborhoods & Development,Housing,CDBG - Office of Housing,Multi-Family Production and Preservation - CDBG,NA,NA,Expense,Multi-Family Production and Preservation - CDBG,0,871433
2014,Neighborhoods & Development,Housing,CDBG - Office of Housing,"Strategic Planning, Resource, and Program Development - CDBG",NA,NA,Expense,"Strategic Planning, Resource, and Program Development - CDBG",0,101139
2014,Neighborhoods & Development,Housing,Low-Income Housing Fund 16400,Homeownership and Sustainability - 16400,NA,NA,Expense,Homeownership and Sustainability - 16400,0,10066129
2014,Neighborhoods & Development,Housing,Low-Income Housing Fund 16400,Multi-Family Production and Preservation - 16400,NA,NA,Expense,Multi-Family Production and Preservation - 16400,0,32929361
2014,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Administration and Management - 16600,NA,NA,Expense,Administration and Management - 16600,0,1664786
2014,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Community Development - 16600,NA,NA,Expense,Community Development - 16600,0,862876
2014,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Homeownership and Sustainability - 16600,NA,NA,Expense,Homeownership and Sustainability - 16600,0,1414787
2014,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Multi-Family Production and Preservation - 16600,NA,NA,Expense,Multi-Family Production and Preservation - 16600,0,1303628
2013,Neighborhoods & Development,Housing,CDBG - Office of Housing,Homeownership and Sustainability - CDBG,NA,NA,Expense,Homeownership and Sustainability - CDBG,0,987108
2013,Neighborhoods & Development,Housing,CDBG - Office of Housing,Multi-Family Production and Preservation - CDBG,NA,NA,Expense,Multi-Family Production and Preservation - CDBG,0,871433
2013,Neighborhoods & Development,Housing,CDBG - Office of Housing,"Strategic Planning, Resource, and Program Development - CDBG",NA,NA,Expense,"Strategic Planning, Resource, and Program Development - CDBG",0,101139
2013,Neighborhoods & Development,Housing,Low-Income Housing Fund 16400,Homeownership and Sustainability - 16400,NA,NA,Expense,Homeownership and Sustainability - 16400,0,10114536.91
2013,Neighborhoods & Development,Housing,Low-Income Housing Fund 16400,Multi-Family Production and Preservation - 16400,NA,NA,Expense,Multi-Family Production and Preservation - 16400,0,32929361
2013,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Administration and Management - 16600,NA,NA,Expense,Administration and Management - 16600,0,1591281.19
2013,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Community Development - 16600,NA,NA,Expense,Community Development - 16600,0,543812.69
2013,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Homeownership and Sustainability - 16600,NA,NA,Expense,Homeownership and Sustainability - 16600,0,1340874.28
2013,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Multi-Family Production and Preservation - 16600,NA,NA,Expense,Multi-Family Production and Preservation - 16600,0,1256672.57
2012,Neighborhoods & Development,Housing,CDBG - Office of Housing,Homeownership and Sustainability,NA,NA,Expense,Homeownership and Sustainability,0,1188185
2015,Administration,Human Resources,Employment and Training,Employment and Training,NA,NA,Expense,Employment and Training,0,5259730
2012,Neighborhoods & Development,Housing,CDBG - Office of Housing,Multi-Family Production and Preservation,NA,NA,Expense,Multi-Family Production and Preservation,0,741890
2012,Neighborhoods & Development,Housing,CDBG - Office of Housing,"Strategic Planning, Resource, and Program Development",NA,NA,Expense,"Strategic Planning, Resource, and Program Development",0,30000
2012,Neighborhoods & Development,Housing,Low-Income Housing Fund 16400,Homeownership and Sustainability - 16400,NA,NA,Expense,Homeownership and Sustainability - 16400,0,8052097.91
2012,Neighborhoods & Development,Housing,Low-Income Housing Fund 16400,Multi-Family Production and Preservation - 16400,NA,NA,Expense,Multi-Family Production and Preservation - 16400,0,26000676
2012,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Administration and Management - 16600,NA,NA,Expense,Administration and Management - 16600,0,1332487.36
2012,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Community Development - 16600,NA,NA,Expense,Community Development - 16600,0,551395.21
2012,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Homeownership and Sustainability - 16600,NA,NA,Expense,Homeownership and Sustainability - 16600,0,1308270.29
2012,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Multi-Family Production and Preservation - 16600,NA,NA,Expense,Multi-Family Production and Preservation - 16600,0,1266721.44
2011,Neighborhoods & Development,Housing,CDBG - Office of Housing,HomeWise and Homeownership,NA,NA,Expense,HomeWise and Homeownership,0,1420897
2011,Neighborhoods & Development,Housing,CDBG - Office of Housing,Multi-Family Production and Preservation,NA,NA,Expense,Multi-Family Production and Preservation,0,1294622
2011,Neighborhoods & Development,Housing,CDBG - Office of Housing,"Strategic Planning, Resource, and Program Development",NA,NA,Expense,"Strategic Planning, Resource, and Program Development",0,46774
2011,Neighborhoods & Development,Housing,Low-Income Housing Fund 16400,Homeownership and Sustainability - 16400,NA,NA,Expense,Homeownership and Sustainability - 16400,0,7725501.11
2011,Neighborhoods & Development,Housing,Low-Income Housing Fund 16400,Multi-Family Production and Preservation - 16400,NA,NA,Expense,Multi-Family Production and Preservation - 16400,0,27425181
2011,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Administration and Management - 16600,NA,NA,Expense,Administration and Management - 16600,0,1636967.61
2011,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Community Development - 16600,NA,NA,Expense,Community Development - 16600,0,478131.92
2011,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Homeownership and Sustainability - 16600,NA,NA,Expense,Homeownership and Sustainability - 16600,0,1261130.62
2011,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Multi-Family Production and Preservation - 16600,NA,NA,Expense,Multi-Family Production and Preservation - 16600,0,1211916.02
2010,Neighborhoods & Development,Housing,CDBG - Office of Housing,HomeWise and Homeownership,NA,NA,Expense,HomeWise and Homeownership,0,1420897
2010,Neighborhoods & Development,Housing,CDBG - Office of Housing,Multi-Family Production and Preservation,NA,NA,Expense,Multi-Family Production and Preservation,0,1294622
2010,Neighborhoods & Development,Housing,CDBG - Office of Housing,"Strategic Planning, Resource, and Program Development",NA,NA,Expense,"Strategic Planning, Resource, and Program Development",0,46774
2010,Neighborhoods & Development,Housing,Low-Income Housing Fund 16400,Homeownership and Sustainability - 16400,NA,NA,Expense,Homeownership and Sustainability - 16400,0,6635836.11
2010,Neighborhoods & Development,Housing,Low-Income Housing Fund 16400,Multi-Family Production and Preservation - 16400,NA,NA,Expense,Multi-Family Production and Preservation - 16400,0,33591236
2010,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Administration and Management - 16600,NA,NA,Expense,Administration and Management - 16600,0,1622017.34
2010,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Community Development - 16600,NA,NA,Expense,Community Development - 16600,0,499240.64
2010,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Homeownership and Sustainability - 16600,NA,NA,Expense,Homeownership and Sustainability - 16600,0,1182758.8
2010,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Multi-Family Production and Preservation - 16600,NA,NA,Expense,Multi-Family Production and Preservation - 16600,0,1354391.01
2015,Administration,Human Resources,City/Union Relations and Class/Comp Services,City/Union Relations and Class/Comp Services,NA,NA,Expense,City/Union Relations and Class/Comp Services,0,3553478
2015,Administration,Human Resources,Citywide Personnel Services,Citywide Personnel Services,NA,NA,Expense,Citywide Personnel Services,0,3291919
2015,Administration,Human Resources,Employee Health Services,Employee Health Services,NA,NA,Expense,Employee Health Services,0,3314294
2014,Administration,Human Resources,City/Union Relations and Class/Comp Services,City/Union Relations and Class/Comp Services,NA,NA,Expense,City/Union Relations and Class/Comp Services,0,3443364
2014,Administration,Human Resources,Citywide Personnel Services,Citywide Personnel Services,NA,NA,Expense,Citywide Personnel Services,0,2955164
2014,Administration,Human Resources,Employee Health Services,Employee Health Services,NA,NA,Expense,Employee Health Services,0,2912688
2014,Administration,Human Resources,Employment and Training,Employment and Training,NA,NA,Expense,Employment and Training,0,3893910
2013,Administration,Human Resources,City/Union Relations and Class/Comp Services,City/Union Relations and Class/Comp Services,NA,NA,Expense,City/Union Relations and Class/Comp Services,0,3391171.31
2013,Administration,Human Resources,Citywide Personnel Services,Citywide Personnel Services,NA,NA,Expense,Citywide Personnel Services,0,2773615.51
2013,Administration,Human Resources,Employee Health Services,Employee Health Services,NA,NA,Expense,Employee Health Services,0,2836675.2
2013,Administration,Human Resources,Employment and Training,Employment and Training,NA,NA,Expense,Employment and Training,0,2813285.02
2012,Administration,Human Resources,City/Union Relations and Class/Comp Services,City/Union Relations and Class/Comp Services,NA,NA,Expense,City/Union Relations and Class/Comp Services,0,3210651.04
2012,Administration,Human Resources,Citywide Personnel Services,Citywide Personnel Services,NA,NA,Expense,Citywide Personnel Services,0,2681948.09
2012,Administration,Human Resources,Employee Health Services,Employee Health Services,NA,NA,Expense,Employee Health Services,0,2695531.09
2012,Administration,Human Resources,Employment and Training,Employment and Training,NA,NA,Expense,Employment and Training,0,2942663.39
2011,Administration,Human Resources,City/Union Relations and Class/Comp Services,City/Union Relations and Class/Comp Services,NA,NA,Expense,City/Union Relations and Class/Comp Services,0,4095057.02
2011,Administration,Human Resources,Citywide Personnel Services,Citywide Personnel Services,NA,NA,Expense,Citywide Personnel Services,0,1848768.19
2011,Administration,Human Resources,Employee Health Services,Employee Health Services,NA,NA,Expense,Employee Health Services,0,2692054.31
2011,Administration,Human Resources,Employment and Training,Employment and Training,NA,NA,Expense,Employment and Training,0,2913419.75
2015,Health & Human Services,Human Services,Youth and Family Empowerment,Youth Services,NA,NA,Expense,Youth Services,0,16598075
2010,Administration,Human Resources,City/Union Relations and Class/Comp Services,City/Union Relations and Class/Comp Services,NA,NA,Expense,City/Union Relations and Class/Comp Services,0,3151691.22
2010,Administration,Human Resources,Citywide Personnel Services,Citywide Personnel Services,NA,NA,Expense,Citywide Personnel Services,0,3102567.43
2010,Administration,Human Resources,Employee Health Services,Employee Health Services,NA,NA,Expense,Employee Health Services,0,2930479.06
2010,Administration,Human Resources,Employment and Training,Employment and Training,NA,NA,Expense,Employment and Training,0,2734689.74
2015,Health & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Healthy Aging,NA,NA,Expense,Healthy Aging,0,8536105
2015,Health & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Home-Based Care,NA,NA,Expense,Home-Based Care,0,25414046
2015,Health & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Mayor's Office on Senior Citizens,NA,NA,Expense,Mayor's Office on Senior Citizens,0,514177
2015,Health & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Planning and Coordination,NA,NA,Expense,Planning and Coordination,0,2697668
2015,Health & Human Services,Human Services,CDBG - Human Services Department,Homeless Intervention,NA,NA,Expense,Homeless Intervention,0,3910042
